string,anomaly,result
babadbbb,0,0
aababaaa,0,0
caadbabd,0,0
dbcaccbb,0,0
aaaabcaa,0,0
fdcbfdbc,0,0
baadabad,0,0
abadbaad,0,0
babaabab,0,0
faadabad,0,0
aababbaa,0,0
gcbaacdf,1,0
aabdcbbd,0,0
gabdbbdg,1,0
aabdbbad,0,0
aababaaa,0,0
dbbdcbad,0,0
aaaabbaa,0,0
eaaadbaa,0,0
fabdabdg,2,0
aabdaaad,0,0
cabddbad,0,0
aabacbaa,0,0
fabdcbad,0,0
faadbadg,1,0
aaaaabaa,0,0
aababaaa,0,0
abbaccaa,0,0
aaadacad,0,0
bacaebac,0,0
aabbabaa,0,0
gbadbbdg,1,0
gaaabbdf,1,0
aabdbaad,0,0
adbdaaad,0,0
facbdbab,0,0
aabacbaa,0,0
babaabba,0,0
babdcbad,0,0
acaabbaa,0,0
aabaaaaa,0,0
dabdeaad,0,0
abaaabaa,0,0
cabaebbb,0,0
fabadbdd,2,0
bbadcbad,0,0
cbbdcbbd,0,0
gbcbebdg,1,0
baadcbad,0,0
baaaaaaa,0,0
aabacbaa,0,0
babacbaa,0,0
dacbddbc,0,0
aaadaaad,0,0
bbadbbad,0,0
ccaadbaa,0,0
ebbadbab,0,0
dcaabcaa,0,0
faadbadg,2,0
gbbabadf,1,0
bbbdccbd,0,0
aabdbcad,0,0
babacbaa,0,0
aababbaa,0,0
fdbdfcbf,0,0
aabacbaa,0,0
ccadbaad,0,0
aaaacbaa,0,0
aaabcaaa,0,0
cbbacaaa,0,0
aaadcaad,0,0
aabdebad,0,0
abbdbaad,0,0
abbdbbad,0,0
dbbadcab,0,0
facdccdg,2,0
faaaaadd,2,0
gabadadf,1,0
fabaabdd,2,0
aaadabbd,0,0
faadabdg,2,0
dabdccbd,0,0
fabdaadg,1,0
aababaaa,0,0
bbaabaaa,0,0
aaadabad,0,0
aababbaa,0,0
facddbdg,2,0
bbbdacad,0,0
abbabbaa,0,0
aabdabad,0,0
abaaaaaa,0,0
fcbbfbac,0,0
fababbdd,2,0
aabadbaa,0,0
aaaacbaa,0,0
gabadadf,1,0
gabdbbdg,1,0
gaaacbdf,1,0
gbbdbadg,1,0
aabaabaa,0,0
aaadabad,0,0
aababbaa,0,0
aaadbaad,0,0
aabacbaa,0,0
aaaaabaa,0,0
aacdccad,0,0
gabacbdf,1,0
caaadbaa,0,0
aabdcbad,0,0
fabaaadd,2,0
bacdcbad,0,0
babaabaa,0,0
faadcbad,0,0
aacdcbad,0,0
cbbabcaa,0,0
gabaabdf,1,0
bbadbbad,0,0
aabaabaa,0,0
babbbbaa,0,0
abbabbaa,0,0
fbadcbdg,2,0
faadaadg,2,0
aabbebab,0,0
fabacbdd,2,0
fccbebac,0,0
baadcbad,0,0
aabacbaa,0,0
abadbcad,0,0
aaaaacaa,0,0
abbdaaad,0,0
fbbdbbdg,2,0
aaaadbaa,0,0
gabdaadg,1,0
gbbdacdg,2,0
aabdcbad,0,0
fababbdd,2,0
eabdcbad,0,0
abbdebad,0,0
aaadccad,0,0
aabddaad,0,0
aacddbad,0,0
cbadbaad,0,0
aabdbaad,0,0
baaddbad,0,0
aaadbaad,0,0
aaaacbaa,0,0
cbbdaabd,0,0
baaabbaa,0,0
gbbdbbdg,1,0
aabdbbad,0,0
aababbaa,0,0
dcbadbbb,0,0
aaaacbaa,0,0
baadcbad,0,0
aabdcaad,0,0
aabdcbad,0,0
aababbaa,0,0
aabaacaa,0,0
fccdecbf,0,0
aabaabaa,0,0
faaabadd,2,0
babdcbad,0,0
acbdabbd,0,0
aabdbbad,0,0
aabaaaaa,0,0
babddbad,0,0
ebbdebae,0,0
ebbbebab,0,0
baaabaaa,0,0
aaaacaaa,0,0
gaaacadf,1,0
baadaaad,0,0
caaadbaa,0,0
aabdabad,0,0
aaadbbad,0,0
fababbdd,2,0
fabdbadg,1,0
aaaacbaa,0,0
aabdbbad,0,0
aaaabbaa,0,0
bcaadbbb,0,0
aaadbbbd,0,0
baadcbad,0,0
dabdcbad,0,0
aabdabad,0,0
aacaabba,0,0
aaadaaad,0,0
gaaabbdf,1,0
faaabbdd,2,0
aabddbad,0,0
ababcaaa,0,0
aabdabad,0,0
aabdabad,0,0
aabaabca,0,0
bacdbbcd,0,0
abaadbaa,0,0
aabdaaad,0,0
bbaabbba,0,0
babbcbba,0,0
acbabbaa,0,0
gbadbbdg,1,0
babdaabd,0,0
cbadaaad,0,0
acbdcbad,0,0
aaaacaaa,0,0
baaaaaaa,0,0
aabdabad,0,0
gabdcadg,1,0
aaaadbaa,0,0
bbbddbad,0,0
gabddbdg,1,0
daadebad,0,0
aababaaa,0,0
caaaabbb,0,0
gabadbdg,1,0
aaaaabaa,0,0
aaadabad,0,0
bbbaccab,0,0
aaaaaaaa,0,0
aacdcaad,0,0
aabaabaa,0,0
babdcbad,0,0
aaadbbad,0,0
aabaebab,0,0
aabaabba,0,0
gaadcadg,1,0
baaaabaa,0,0
caaaebab,0,0
aaadabad,0,0
aaadaaad,0,0
aabdabad,0,0
aacbbbaa,0,0
gcbdcddg,2,0
daadcbad,0,0
cbaabbba,0,0
aababbaa,0,0
abbabbaa,0,0
dbbddbad,0,0
baaabaaa,0,0
dcbdebad,0,0
aabdbbad,0,0
bbbdabbd,0,0
aababbaa,0,0
aabdabad,0,0
gaaadbdf,1,0
abadbbad,0,0
dbbdebbd,0,0
faadbbdg,2,0
aaaabcaa,0,0
aaadbbad,0,0
baadbbad,0,0
gbbddbdg,2,0
cbcddbad,0,0
cababbaa,0,0
baadbbad,0,0
bbadacbd,0,0
adbabaaa,0,0
fababbdd,2,0
aaadcbad,0,0
cabdbaad,0,0
cbbbdaaa,0,0
aabdabbd,0,0
aabadbaa,0,0
dabacbaa,0,0
babdcbad,0,0
gbbacddg,1,0
cabdcabd,0,0
bbaddaad,0,0
cbcdecad,0,0
aabdcaad,0,0
eaadabad,0,0
ccaabaaa,0,0
baaabbaa,0,0
abcabaaa,0,0
fabdabdg,1,0
dcbaabba,0,0
aababaaa,0,0
aabbdbaa,0,0
gabacbdg,1,0
aababbaa,0,0
aabdbbad,0,0
babababa,0,0
aabacbaa,0,0
faaabbdd,2,0
aaadbbad,0,0
aabbcbaa,0,0
abbdabad,0,0
aaadcaad,0,0
caaaaaaa,0,0
aaaabbaa,0,0
aaadbaad,0,0
abbabaaa,0,0
aaaabaaa,0,0
aaadcaad,0,0
bacdcaad,0,0
abbdabad,0,0
eabadaaa,0,0
aabadbaa,0,0
aaaabbaa,0,0
aabdbaad,0,0
abbdbaad,0,0
aabaabaa,0,0
aaaaabba,0,0
aaccbcaa,0,0
gbcbabdf,1,0
fabdbbdg,2,0
fabdebdg,2,0
cabadaaa,0,0
aabdaabd,0,0
aaadabad,0,0
aabdcbad,0,0
aababbaa,0,0
fababbdd,2,0
cabadbab,0,0
babddaad,0,0
eabbdbcc,0,0
aabbaaaa,0,0
aabaaaaa,0,0
cbadcbad,0,0
aaaadbaa,0,0
fbaabbdd,2,0
aabacbaa,0,0
aaadaaad,0,0
aacdabad,0,0
aaaadaaa,0,0
cdbdccad,0,0
aaadeaad,0,0
aabaaaaa,0,0
abbaacba,0,0
cbbddbad,0,0
fabdabdg,2,0
aaadaaad,0,0
bbadbbad,0,0
gabdabdg,1,0
aaadaaad,0,0
gbaaabdf,1,0
fabdcbdg,2,0
babdeaad,0,0
cabaaaba,0,0
fbbdabdg,2,0
gabdbadg,1,0
ebcddbad,0,0
aabaaaba,0,0
cbadeaad,0,0
ebbacbab,0,0
ebbaebbb,0,0
gbadbbdg,1,0
gacadbdf,1,0
aaaadbab,0,0
acadbbad,0,0
aabdbaad,0,0
aabdcbad,0,0
dbbbcccb,0,0
aaadaaad,0,0
abbdebbd,0,0
caadbbad,0,0
ecbdcbbd,0,0
aabdabad,0,0
gcadecdg,2,0
abbacaaa,0,0
bbbacbaa,0,0
aababbba,0,0
dbbdcbad,0,0
cabdbbad,0,0
aaaabbba,0,0
fcbbdbbc,0,0
gabdebdg,2,0
bbbabbaa,0,0
ecbaccab,0,0
aaadcbad,0,0
bbaabbab,0,0
aaaaabaa,0,0
cababbba,0,0
babdccad,0,0
aababbaa,0,0
ecbddbbe,0,0
gbbadbdf,1,0
aabaaaba,0,0
aabacbaa,0,0
aabdcbad,0,0
faaacadd,2,0
bdcdabad,0,0
aaadbbad,0,0
babdbbad,0,0
aabbcaaa,0,0
baaaabbb,0,0
gaadbbdg,1,0
bababbaa,0,0
bbcacbaa,0,0
gbbaaadf,1,0
bababcba,0,0
eabaebab,0,0
cabaabba,0,0
abbabcaa,0,0
gcbdabdg,1,0
fabbabdd,2,0
aabdabad,0,0
aabbcbaa,0,0
aaadabbd,0,0
cbbbebab,0,0
fbbacbdd,2,0
aaaaabaa,0,0
cbcadbab,0,0
baaadbab,0,0
gabdbbdg,1,0
gabdbbdg,1,0
aabddbad,0,0
aabaacaa,0,0
aaaacaaa,0,0
aacdbaad,0,0
aaaaabaa,0,0
aaaacaaa,0,0
babacbaa,0,0
abadbbad,0,0
aaadaaad,0,0
faabbbdd,2,0
fdbdcbad,0,0
cabdbaad,0,0
aababbca,0,0
aaaacbaa,0,0
gbbadbdf,1,0
aababbaa,0,0
aabaccaa,0,0
bbadbbad,0,0
abbdcabd,0,0
cbbddbad,0,0
aabdcbad,0,0
aaadabad,0,0
cabdbbad,0,0
babbbaaa,0,0
faaabbdd,2,0
aabadaab,0,0
fdadddce,0,0
abbabbaa,0,0
baaabbaa,0,0
baaabbaa,0,0
ecbadcbc,0,0
gbaacadf,1,0
aabdcbad,0,0
aabdcbad,0,0
gbadbbdg,1,0
gdbabbdf,1,0
abbacbab,0,0
fbbddbdg,2,0
aaaacaaa,0,0
aaadbbad,0,0
cabdbbad,0,0
baaabaaa,0,0
aaadabad,0,0
bbadabad,0,0
aabacbaa,0,0
gbbadbdd,2,0
fabdabdg,1,0
gbadcbdg,1,0
aabdbbad,0,0
babdabad,0,0
bacdebad,0,0
dababbaa,0,0
aacdcbad,0,0
babacbab,0,0
aabaabaa,0,0
aabadbaa,0,0
fdcbfdbc,0,0
faaabbdd,2,0
faaaccdd,2,0
gbbdfbdg,1,0
aaaaabaa,0,0
fabacbdd,2,0
aabdbbad,0,0
caadabbd,0,0
dbcbccaa,0,0
dabadbba,0,0
aabdcaad,0,0
faaabbdd,2,0
dbbdcbad,0,0
aabbbbaa,0,0
fcbadcac,0,0
aabdbbad,0,0
cabacbbb,0,0
aacbaaaa,0,0
faaacbdd,2,0
ecaaddbc,0,0
aabbabba,0,0
aaaaaaaa,0,0
caaabbaa,0,0
fbabdcdd,2,0
aaaabbaa,0,0
eabacbba,0,0
facddcdg,2,0
caabbbaa,0,0
baaadbab,0,0
abadbbad,0,0
dbbdcbad,0,0
faadbbdg,2,0
fbaacbdd,2,0
baadbbad,0,0
cabdbbbd,0,0
aaaabbaa,0,0
abbacbaa,0,0
abbdbbad,0,0
aaadcbad,0,0
aabdcaad,0,0
aabdaaad,0,0
fabdcbdg,2,0
abbdbbad,0,0
faaabbdd,2,0
cabacaaa,0,0
cabdcbad,0,0
aababbaa,0,0
dbbdecbd,0,0
aaadbbad,0,0
caaabcaa,0,0
aabdcaad,0,0
aaadbdad,0,0
caaacaab,0,0
ecaadbbc,0,0
babaabaa,0,0
babacbaa,0,0
aababbaa,0,0
faadaadg,2,0
aaaabaaa,0,0
faaaabdd,2,0
gbbacadf,1,0
dcbdecbd,0,0
fabaabdd,2,0
aaaacbaa,0,0
baaaebca,0,0
dbbadcab,0,0
aabacbaa,0,0
abbaabaa,0,0
daaacbab,0,0
babdbcbd,0,0
aababbaa,0,0
dabddbad,0,0
fabdabdg,2,0
ebbadbbc,0,0
ccaaabba,0,0
baaaabaa,0,0
aabaabaa,0,0
abadabbd,0,0
aabaabaa,0,0
gabbdadf,1,0
gbbddbdg,2,0
gaaabbdf,1,0
faadbbdg,2,0
gabadbdf,1,0
bbbdbbbd,0,0
ccadabad,0,0
aabaabaa,0,0
aaadcbad,0,0
bbbdabad,0,0
aabdbbad,0,0
aababaaa,0,0
fbbdbadg,2,0
bbaabbba,0,0
fabdbbdg,2,0
acaaabaa,0,0
aaadbbad,0,0
aaadabad,0,0
abbdcbad,0,0
dbbdcbce,0,0
aaadaabd,0,0
faabdbdd,2,0
aacadbaa,0,0
cbadccad,0,0
cbbaabaa,0,0
aaadabad,0,0
faaaabdd,2,0
aabdcaad,0,0
aaadbbad,0,0
eacdcbad,0,0
abbdbbad,0,0
aaaaabaa,0,0
aaadbbad,0,0
gcbacbdd,2,0
gaadcbdg,1,0
fbadcbdg,2,0
fababbdd,2,0
fababadd,2,0
daaabaaa,0,0
fabdaadg,2,0
fababbdd,2,0
abaabcba,0,0
baadabad,0,0
aaadbbad,0,0
aabdbbad,0,0
ebbdacad,0,0
aabdabad,0,0
dabaaaac,0,0
ecbaebab,0,0
eacbfcac,0,0
cdbabbaa,0,0
gababcdf,1,0
aaaaabba,0,0
bacdabcd,0,0
aabdbbad,0,0
dbadbcad,0,0
bbadbbad,0,0
aaaaabba,0,0
gacadcdf,1,0
aacaabaa,0,0
faadcbdg,2,0
aabdaabd,0,0
fdbdcbdg,2,0
aaadaaad,0,0
aabdbbbd,0,0
aababbaa,0,0
babadaaa,0,0
aabdbbad,0,0
aabdbbad,0,0
baaacbaa,0,0
fbcdbbdg,2,0
cabdaaad,0,0
aaadabad,0,0
aabacaaa,0,0
gaaaaadf,1,0
aabdbbcd,0,0
aabbbbaa,0,0
aabacbaa,0,0
cbbadcab,0,0
caaabaaa,0,0
cabddaad,0,0
bbbdcbad,0,0
dabdbbad,0,0
aaadcaad,0,0
aababbaa,0,0
baadbbad,0,0
gabadadf,1,0
cabdabbd,0,0
baadbbad,0,0
dabbcbaa,0,0
ddadccad,0,0
ecbddbad,0,0
aaaabbaa,0,0
aabdbbad,0,0
faaaccdd,2,0
gababbdf,1,0
aabbbbba,0,0
aaadbaad,0,0
aaadbaad,0,0
gaaacadf,1,0
fdbaeccc,0,0
aabacbaa,0,0
abaddbad,0,0
aacdbdad,0,0
caadbbad,0,0
abbabaaa,0,0
gaaaabdf,1,0
fabdabdg,2,0
edbdebad,0,0
bbbacbba,0,0
aabdcbad,0,0
aababbaa,0,0
bbbdbbad,0,0
aabddaad,0,0
aababbaa,0,0
daadbbad,0,0
fbadabad,0,0
gabdcadg,1,0
cbbaabaa,0,0
cbaabbaa,0,0
fabaaadd,2,0
fabdbbcd,0,0
gbbdecdg,1,0
aabddbad,0,0
fabddbdg,2,0
baaaccba,0,0
dabdccad,0,0
abadabad,0,0
aacdcbad,0,0
bacddbad,0,0
faadabdg,2,0
gdbadbdg,1,0
baadcbad,0,0
gbbdeadg,1,0
aabddbbd,0,0
dabdebbd,0,0
dcaaccab,0,0
gaaadbdf,1,0
cabadbaa,0,0
aabdaaad,0,0
babdcaad,0,0
ecaaecab,0,0
aabdabad,0,0
aabdabad,0,0
abcbaaaa,0,0
aabdbaad,0,0
dbbddaad,0,0
abbaacba,0,0
aabaabaa,0,0
cabdebad,0,0
gaaabadf,1,0
caadbaad,0,0
aabaabaa,0,0
aabdacad,0,0
abbdbbbd,0,0
aabacaaa,0,0
aabdabbd,0,0
aabdbbad,0,0
aabacbaa,0,0
fabaacdd,2,0
babbabaa,0,0
aaaacbaa,0,0
aaaacaaa,0,0
gabbbadf,1,0
caaabbaa,0,0
baaaabaa,0,0
babdbbad,0,0
aaaacbaa,0,0
abadbaad,0,0
aabdabad,0,0
gbbaccdf,1,0
fbbdabdg,2,0
daadbbad,0,0
aabdbbad,0,0
dbaacbba,0,0
aabdaaad,0,0
aabdbbad,0,0
fcbaebde,2,0
baaabaaa,0,0
dabdbbad,0,0
abaabbaa,0,0
aabaabaa,0,0
aaaacbaa,0,0
gbbdcbdg,1,0
faaaabdf,1,0
aabdcbad,0,0
bababbaa,0,0
gabdbadg,1,0
faaacbaa,0,0
aabdabad,0,0
aaaacaaa,0,0
eabdabbd,0,0
aabdaaad,0,0
gacdbbdg,1,0
cbbababa,0,0
abadcbad,0,0
abcddbbd,0,0
aabdbbad,0,0
fabaabdd,2,0
aabbbbaa,0,0
aabdaaad,0,0
babdcbad,0,0
gcadbcdg,2,0
bbbdbbad,0,0
aaadabad,0,0
aaadcaad,0,0
cbbdcbad,0,0
aabdcbad,0,0
faadabdg,2,0
aabbcbaa,0,0
bbabebab,0,0
fbbbdaaa,0,0
aababbaa,0,0
aaaacbaa,0,0
aaadcaad,0,0
bababbaa,0,0
aabaabaa,0,0
aabadbab,0,0
aabdbaad,0,0
gabddadg,1,0
gabddbdg,2,0
bbbbdbaa,0,0
aabbbcba,0,0
fdbbdcdd,2,0
daaacbaa,0,0
ecbabcbb,0,0
baddaabd,0,0
babaeaab,0,0
babacbaa,0,0
caaaabba,0,0
babbabaa,0,0
fbaaabdd,2,0
aabaabaa,0,0
aacddbad,0,0
gbaabbdf,1,0
aabdabad,0,0
accbcbaa,0,0
abbbabaa,0,0
gcaadcdg,1,0
faadbbdg,2,0
gaaacbdf,1,0
abbabaaa,0,0
babdcbad,0,0
aabddaad,0,0
babbbbaa,0,0
gaadabdg,1,0
aabdabcd,0,0
aaaacaaa,0,0
abcdcaad,0,0
dbbdcbad,0,0
cacadbbb,0,0
dababbaa,0,0
faaaabdd,2,0
eabdacbd,0,0
fcbafdbc,0,0
baadcbad,0,0
gbadbbdg,1,0
ccbddbbd,0,0
abadabad,0,0
aaaabbaa,0,0
aabdcaad,0,0
fabacbdd,2,0
bbcacaaa,0,0
abbababa,0,0
gcaaecde,2,0
aabdcaad,0,0
ebbacaab,0,0
aabdbbad,0,0
abbdcbad,0,0
aaadbbad,0,0
fcbdcbbd,0,0
fbddecce,0,0
dbbdecad,0,0
gdadbadg,1,0
aabacaaa,0,0
aabaaaaa,0,0
gaadbbdg,1,0
aaaadbaa,0,0
aabdbbad,0,0
cabdcbad,0,0
aabdabad,0,0
aaadabad,0,0
aabacbaa,0,0
aabdbbad,0,0
aabdcaad,0,0
aababbaa,0,0
aabddbad,0,0
aaaaaaaa,0,0
aabddaad,0,0
gaadbbdg,1,0
aabacaaa,0,0
gaaaabdf,1,0
cbbaabba,0,0
bbadcbcd,0,0
aabadbab,0,0
aaadcbbd,0,0
abbdaaad,0,0
aabaaaaa,0,0
aabaabaa,0,0
cbbaebbb,0,0
fabacbdd,2,0
aaadcbad,0,0
abbacaba,0,0
aaaadcaa,0,0
adbdabad,0,0
bbbdabad,0,0
dbbdabbd,0,0
baaabbaa,0,0
aababbaa,0,0
abbdcbad,0,0
daadbbad,0,0
abaacbaa,0,0
gaaaabdf,1,0
babbbaba,0,0
dabadbab,0,0
faadbbdg,2,0
gabdcbdg,1,0
gabdcadg,1,0
cbbabbaa,0,0
fababbdd,2,0
fdcddace,0,0
acaabcba,0,0
babdebad,0,0
abbbebac,0,0
aabaabaa,0,0
fbaaacdd,2,0
abaaaaaa,0,0
aabdabad,0,0
aaadabad,0,0
abbabbba,0,0
dababbba,0,0
faadcbdg,2,0
abbacbaa,0,0
daaabbaa,0,0
aaadbbad,0,0
faadbbdg,1,0
aabaabaa,0,0
gbbdebdg,1,0
fccdcbad,0,0
cabadbab,0,0
babdebad,0,0
eaabbbaa,0,0
cabdccad,0,0
aaadbbad,0,0
babdcbad,0,0
dbbddaad,0,0
aabddcad,0,0
gabadbdf,1,0
daadbdad,0,0
gabdbadg,1,0
aabaabaa,0,0
bbaabaaa,0,0
dacddbad,0,0
aababbaa,0,0
abaddbbd,0,0
aabdbbad,0,0
aabaaaaa,0,0
aaaacbaa,0,0
cbbdcbad,0,0
aababbaa,0,0
aaadabad,0,0
baadbbad,0,0
bcbdaccd,0,0
dabacaaa,0,0
fbbdccad,0,0
caaadbbb,0,0
cbcddbbd,0,0
gaadcadg,1,0
aaaabbaa,0,0
ddadebbd,0,0
caaabbaa,0,0
aaaaabaa,0,0
babdcbad,0,0
aaadaaad,0,0
aabaaaaa,0,0
aaaaabaa,0,0
fabdcbad,0,0
aabaabaa,0,0
bbaaacba,0,0
aabadbab,0,0
bbbdbaad,0,0
cababbaa,0,0
bbbdabad,0,0
ddbdcbad,0,0
baaacbaa,0,0
baaaaaaa,0,0
aabddbad,0,0
faaaabdd,2,0
abbbcbba,0,0
aabdabad,0,0
aacbabaa,0,0
faaabadd,2,0
aaaacaaa,0,0
aabacbba,0,0
abbacbaa,0,0
caadbcbd,0,0
abbdbcad,0,0
aaadbaad,0,0
aaaabbaa,0,0
bbaabcba,0,0
cbcbbbaa,0,0
bbbabbaa,0,0
abbdbaad,0,0
aabdbbad,0,0
aabdbbad,0,0
gaaacbdd,2,0
fababbdf,1,0
aaadcabd,0,0
aaadaaad,0,0
fabdbbdg,2,0
dabadbbb,0,0
facddbad,0,0
aabaabaa,0,0
gcbdacdg,1,0
aaaacbba,0,0
bbbaccba,0,0
dcbadbbb,0,0
aabdabad,0,0
aabadbaa,0,0
fccadbde,2,0
fbbdabdg,2,0
aabaabaa,0,0
aaadbbbd,0,0
gababadf,1,0
baadcbad,0,0
ebcbebbb,0,0
fbaddbdg,2,0
cbbbdbab,0,0
ebbdedad,0,0
edadcbbd,0,0
babdbaad,0,0
fbbddbdg,2,0
gdbdeddg,1,0
aaaaacaa,0,0
fabdbadg,2,0
dbbadbaa,0,0
aaaaaaaa,0,0
dababbaa,0,0
gabdcbdg,1,0
babdbcad,0,0
gabdbbdg,1,0
aabaaaaa,0,0
aaadaaad,0,0
abbbdaba,0,0
baadcbad,0,0
fababbdd,2,0
babdabad,0,0
aaaacaaa,0,0
ebaadccc,0,0
fabdabad,0,0
aaadbbad,0,0
aabbcbaa,0,0
gaaacadf,1,0
babacbaa,0,0
aaadaaad,0,0
baaaaaaa,0,0
aabacbba,0,0
ebcdebbd,0,0
cbbbccab,0,0
babdebad,0,0
cababcaa,0,0
aabaabaa,0,0
aaaabbba,0,0
gaaacbdf,1,0
cbadbdad,0,0
gabdaadg,1,0
aacddbad,0,0
aaadabad,0,0
fabddbad,0,0
fabdaadg,2,0
aaaabbaa,0,0
aaadabad,0,0
aabdbbad,0,0
aabaabaa,0,0
babdbbbd,0,0
aabdcbad,0,0
faadbadg,2,0
aaadcbad,0,0
dbbaccaa,0,0
aaaadbab,0,0
gabddadg,1,0
gbbdbbdg,1,0
abbacbaa,0,0
abaacaaa,0,0
aabacbaa,0,0
abaabbaa,0,0
aaadabad,0,0
dbaabcba,0,0
ecadecbe,0,0
fabddbdg,2,0
cabdbbad,0,0
aaaaaaca,0,0
aababbaa,0,0
abbabbaa,0,0
abbdbbad,0,0
ecbadcbb,0,0
faaacbdd,2,0
aababaaa,0,0
eaaababa,0,0
aabbdbab,0,0
gbbdcadg,1,0
aabaabba,0,0
aabdcaad,0,0
dcbddbbd,0,0
aabdabad,0,0
gabdbbdg,1,0
faaadadd,2,0
gabaaadf,1,0
aaadbbad,0,0
baadgbae,0,0
gaadbbdg,1,0
eaadcbad,0,0
cacdbabd,0,0
aaaabbaa,0,0
aaaaabaa,0,0
gabadbdg,1,0
fabdcbdg,2,0
abbdbbad,0,0
fdbafccc,0,0
babdbaad,0,0
fabbbbdd,2,0
aabaabaa,0,0
faadabdg,2,0
aaaacbaa,0,0
cabdbbad,0,0
gabdbadg,1,0
caaaabaa,0,0
cababbba,0,0
fbaabbdd,2,0
baadbbad,0,0
gbbaeadf,1,0
abbdacad,0,0
aababbaa,0,0
aabdcaad,0,0
fabadcdd,2,0
aaaacbaa,0,0
fababadd,2,0
aaadbbad,0,0
gaadbbdg,1,0
aababbaa,0,0
cabddbad,0,0
fababbdd,2,0
fdaaedbc,0,0
aabacaaa,0,0
gabdcbdg,1,0
abbacbba,0,0
daaabbaa,0,0
ecbdecae,0,0
baadccbd,0,0
cabbdbaa,0,0
gaaacadf,1,0
aaaaabaa,0,0
abaabbaa,0,0
aacbcbab,0,0
cbbdbcbd,0,0
abadcbbd,0,0
fbaaacaa,0,0
gbbdecdg,1,0
bbbdccad,0,0
eaaabbac,0,0
aaadbccd,0,0
fadccadd,2,0
cabdbbcd,0,0
baadbbad,0,0
gbbdebdg,1,0
fabaabdd,2,0
babddbad,0,0
ecaadbcc,0,0
abbdbbad,0,0
baaaabaa,0,0
cabdbbad,0,0
fdadccad,0,0
baadcbbd,0,0
bbaaacaa,0,0
gbbabbdf,1,0
aaadbbad,0,0
gbbdcbdg,1,0
fabaaadd,2,0
faaaabdd,2,0
baaabbaa,0,0
ecbdecad,0,0
babaabaa,0,0
gcbdbbdg,2,0
fababcdd,2,0
abadbabd,0,0
dabaacaa,0,0
aabdbbad,0,0
aabdabad,0,0
aababcaa,0,0
daadabad,0,0
aabaabaa,0,0
dabdcbbd,0,0
aaadabbd,0,0
baadcbad,0,0
abaddbad,0,0
gabaebdf,1,0
abadbbbd,0,0
baaacaaa,0,0
aaaaebab,0,0
ebcbdcbb,0,0
gabddbdg,1,0
faaaeadd,2,0
gabdcbdg,1,0
aabdabad,0,0
abbdbbad,0,0
fcbdcbdg,2,0
abbdcdad,0,0
fabbcbdd,2,0
babdabbd,0,0
dabacbaa,0,0
aabaabba,0,0
aabdbbad,0,0
bababbba,0,0
aabaabaa,0,0
cabddbad,0,0
aabdabbd,0,0
aabaabaa,0,0
abbabbaa,0,0
fabddbdg,2,0
bcbababb,0,0
